transaction_id,transaction_date,customer_id,store_id,product_id,quantity,unit_price,total_amount,payment_method,discount_applied
TXN000001,2024-07-17 11:37:00,CUST1641,STR029,PRD161,2,64.31,128.62,GCash,15
TXN000002,2024-08-21 08:58:00,CUST1508,STR005,PRD109,1,45.34,45.34,Cash,0
TXN000003,2024-07-11 12:51:00,CUST1875,STR095,PRD049,4,208.98,835.92,Cash,0
TXN000004,2024-08-06 11:42:00,CUST0102,STR014,PRD484,2,115.5,231.0,Cash,0
TXN000005,2024-08-13 11:23:00,CUST1125,STR080,PRD231,1,281.73,281.73,GCash,0
TXN000006,2024-07-09 16:15:00,CUST1686,STR048,PRD336,2,100.05,200.1,Card,0
TXN000007,2024-08-14 08:29:00,CUST0771,STR034,PRD399,3,39.62,118.86,GCash,0
TXN000008,2024-07-29 08:20:00,CUST0231,STR094,PRD034,1,111.59,111.59,PayMaya,0
TXN000009,2024-07-02 13:27:00,CUST0952,STR047,PRD493,2,18.02,36.04,PayMaya,0
TXN000010,2024-06-25 16:17:00,CUST0167,STR001,PRD380,1,140.82,140.82,GCash,0
TXN000011,2024-07-06 10:10:00,CUST0489,STR052,PRD403,2,32.87,65.74,Card,0
TXN000012,2024-08-04 07:29:00,CUST1038,STR051,PRD379,2,36.16,72.32,GCash,0
TXN000013,2024-06-08 20:48:00,CUST0016,STR003,PRD058,3,143.23,429.69,Cash,0
TXN000014,2024-06-17 09:47:00,CUST1888,STR059,PRD285,1,39.55,39.55,Cash,0
TXN000015,2024-06-17 20:46:00,CUST0825,STR078,PRD250,1,567.94,567.94,GCash,0
TXN000016,2024-07-04 08:44:00,CUST0473,STR100,PRD184,1,127.74,127.74,Cash,0
TXN000017,2024-06-02 08:19:00,CUST1911,STR026,PRD290,2,21.38,42.76,Cash,15
TXN000018,2024-07-19 08:54:00,CUST0973,STR070,PRD219,1,68.15,68.15,GCash,10
TXN000019,2024-06-24 18:20:00,CUST1988,STR021,PRD463,2,111.48,222.96,Cash,5
TXN000020,2024-06-10 20:26:00,CUST0749,STR051,PRD335,4,62.94,251.76,Cash,0
