recommendation_id,customer_id,product_id,recommendation_score,recommendation_type,created_date
REC00001,CUST0192,PRD393,0.633,Category,2025-09-02
REC00002,CUST0192,PRD233,0.601,Popular,2025-08-21
REC00003,CUST0192,PRD124,0.692,Seasonal,2025-08-16
REC00004,CUST0192,PRD159,0.542,Seasonal,2025-08-29
REC00005,CUST0192,PRD304,0.564,Category,2025-08-25
REC00006,CUST1826,PRD056,0.961,Category,2025-08-17
REC00007,CUST1826,PRD286,0.595,Similar,2025-08-27
REC00008,CUST1826,PRD353,0.665,Popular,2025-09-04
REC00009,CUST1826,PRD192,0.543,Popular,2025-09-06
REC00010,CUST1826,PRD418,0.95,Seasonal,2025-08-15
REC00011,CUST0624,PRD270,0.735,Popular,2025-08-28
REC00012,CUST0624,PRD400,0.76,Seasonal,2025-08-17
REC00013,CUST0624,PRD251,0.95,Seasonal,2025-08-18
REC00014,CUST0624,PRD430,0.961,Similar,2025-08-19
REC00015,CUST0624,PRD144,0.605,Popular,2025-08-23
REC00016,CUST0020,PRD415,0.912,Popular,2025-08-31
REC00017,CUST0020,PRD160,0.564,Category,2025-09-09
REC00018,CUST0020,PRD308,0.734,Similar,2025-09-07
REC00019,CUST0020,PRD361,0.866,Popular,2025-09-03
REC00020,CUST1194,PRD092,0.618,Category,2025-09-05
REC00021,CUST1194,PRD011,0.977,Popular,2025-09-03
REC00022,CUST1194,PRD127,0.669,Popular,2025-08-21
REC00023,CUST0794,PRD482,0.988,Similar,2025-08-19
REC00024,CUST0794,PRD073,0.95,Popular,2025-08-30
REC00025,CUST0794,PRD386,0.97,Similar,2025-08-30
REC00026,CUST0794,PRD059,0.926,Category,2025-08-22
REC00027,CUST0429,PRD391,0.504,Popular,2025-08-13
REC00028,CUST0429,PRD126,0.889,Similar,2025-08-12
REC00029,CUST0429,PRD211,0.873,Category,2025-08-27
REC00030,CUST0429,PRD284,0.582,Popular,2025-08-12
REC00031,CUST0429,PRD069,0.95,Category,2025-09-04
REC00032,CUST0187,PRD162,0.764,Similar,2025-09-07
REC00033,CUST0187,PRD311,0.682,Similar,2025-09-02
REC00034,CUST0187,PRD345,0.726,Seasonal,2025-09-04
